student_id,day,sleep_hours,study_hours,screen_time_hours,physical_activity_mins,academic_workload_score,social_activity_hours,anxiety_level,mood_rating,routine_consistency_score,journal_entry,stress_score,severity_tier,stress_nature,stress_trajectory,major_factors
STU_003,5,2.76,8.98,8.81,21.9,7.81,4.44,8.12,2.49,6.18,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",98.0,Severe,Sleep-related,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_003,6,2.5,8.98,8.54,19.1,8.02,4.44,8.25,2.25,8.71,Disrupted sleep schedule and constant headaches throughout the morning.,98.0,Severe,Sleep-related,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_003,7,2.95,8.98,8.13,26.5,7.52,4.44,8.03,2.65,3.83,Disrupted sleep schedule and constant headaches throughout the morning.,98.0,Severe,Sleep-related,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_004,1,3.7,8.23,8.47,8.0,6.73,3.92,7.65,3.33,3.79,Screen usage late at night is ruining my sleep quality.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_004,2,3.57,8.23,8.51,12.2,6.32,3.92,7.71,3.22,7.6,Insomnia is killing me. Only slept 3 hours last night and feel exhausted.,96.75,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_004,3,3.26,8.23,8.1,11.2,5.77,3.92,7.87,2.93,7.35,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_004,4,3.26,8.23,8.2,8.8,6.67,3.92,7.87,2.94,8.25,Screen usage late at night is ruining my sleep quality.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_004,5,3.09,8.23,8.15,10.3,6.17,3.92,7.95,2.78,7.38,Insomnia is killing me. Only slept 3 hours last night and feel exhausted.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_004,6,3.73,8.23,8.15,11.1,6.14,3.92,7.63,3.36,4.25,Disrupted sleep schedule and constant headaches throughout the morning.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_004,7,3.14,8.23,8.21,9.9,5.92,3.92,7.93,2.82,5.88,Insomnia is killing me. Only slept 3 hours last night and feel exhausted.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_005,1,4.7,9.0,8.68,53.6,8.56,1.37,6.58,5.82,8.62,Had a conflict with roommate and feeling socially strained.,88.73,Severe,Social,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Social Isolation""]"
STU_005,2,4.7,9.0,8.68,53.6,8.56,0.78,6.93,5.47,9.4,Feeling isolated from my peer group and struggling with campus social life.,89.63,Severe,Social,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Social Isolation""]"
STU_005,3,4.7,9.0,8.68,53.6,8.56,1.29,6.63,5.77,4.85,Difficulty balancing group project communication and team dynamics.,90.9,Severe,Social,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Social Isolation""]"
STU_005,4,4.7,9.0,8.68,53.6,8.56,0.94,6.83,5.57,4.01,Difficulty balancing group project communication and team dynamics.,92.23,Severe,Social,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Social Isolation""]"
STU_005,5,4.7,9.0,8.68,53.6,8.56,1.26,6.64,5.76,7.86,Feeling isolated from my peer group and struggling with campus social life.,92.13,Severe,Social,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Social Isolation""]"
STU_005,6,4.7,9.0,8.68,53.6,8.56,1.45,6.53,5.87,3.37,Had a conflict with roommate and feeling socially strained.,88.9,Severe,Social,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Social Isolation""]"
STU_005,7,4.7,9.0,8.68,53.6,8.56,1.09,6.74,5.66,6.87,Feeling isolated from my peer group and struggling with campus social life.,92.23,Severe,Social,Stable,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Social Isolation""]"
STU_006,1,6.12,8.65,5.85,41.1,3.24,1.33,5.5,6.0,9.08,Feeling overwhelmed by academic deadlines and personal life stress.,57.56,Moderate,Mixed,Increasing,"[""Social Isolation""]"
STU_006,2,6.06,8.65,5.85,41.1,3.39,1.33,5.65,5.92,4.55,Feeling overwhelmed by academic deadlines and personal life stress.,56.42,Moderate,Mixed,Increasing,"[""Social Isolation""]"
STU_006,3,6.0,8.65,5.85,41.1,3.54,1.33,5.8,5.85,5.97,Feeling overwhelmed by academic deadlines and personal life stress.,59.15,Moderate,Mixed,Increasing,"[""Sleep Deprivation"", ""Social Isolation""]"
STU_006,4,5.94,8.65,5.85,41.1,3.69,1.33,5.95,5.78,3.06,"Everything is building up at once - exams, poor sleep, and placement worries.",63.93,High,Mixed,Increasing,"[""Sleep Deprivation"", ""Social Isolation""]"
STU_006,5,5.88,8.65,5.85,41.1,3.84,1.33,6.1,5.7,3.48,"Everything is building up at once - exams, poor sleep, and placement worries.",63.67,High,Mixed,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_006,6,5.82,8.65,5.85,41.1,3.99,1.33,6.25,5.62,3.86,Feeling overwhelmed by academic deadlines and personal life stress.,62.8,High,Mixed,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_006,7,5.76,8.65,5.85,41.1,4.14,1.33,6.4,5.55,8.72,"Everything is building up at once - exams, poor sleep, and placement worries.",65.2,High,Mixed,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_007,1,5.0,7.0,7.01,11.8,7.5,1.35,8.75,3.44,4.72,"Too many deadlines overlapping on the same day, feeling breathless.",98.0,Severe,Time-pressure,Decreasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_007,2,5.04,7.0,7.89,12.6,7.35,1.42,8.71,3.45,7.66,"Too many deadlines overlapping on the same day, feeling breathless.",98.0,Severe,Time-pressure,Decreasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_007,3,5.09,7.0,7.2,13.7,7.2,1.37,8.66,3.47,3.6,"Running out of time to complete all my tasks today, constantly rushing.",98.0,Severe,Time-pressure,Decreasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_007,4,5.13,7.0,7.42,17.2,7.05,1.5,8.62,3.48,4.05,Poor time management has left me pulling late nights to meet project milestones.,98.0,Severe,Time-pressure,Decreasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_007,5,5.18,7.0,7.44,12.9,6.9,1.22,8.57,3.5,6.55,"Too many deadlines overlapping on the same day, feeling breathless.",95.75,Severe,Time-pressure,Decreasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_007,6,5.22,7.0,7.83,14.2,6.75,1.43,8.53,3.52,5.37,Poor time management has left me pulling late nights to meet project milestones.,94.73,Severe,Time-pressure,Decreasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_007,7,5.27,7.0,7.93,10.3,6.6,1.48,8.48,3.53,7.34,"Too many deadlines overlapping on the same day, feeling breathless.",95.71,Severe,Time-pressure,Decreasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_008,1,5.0,7.0,7.18,15.9,7.5,1.41,8.75,3.44,8.21,"Juggling classes, projects, and personal commitments is overwhelming.",98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_008,2,5.0,7.0,7.86,11.9,7.5,1.37,8.75,3.44,5.49,"Running out of time to complete all my tasks today, constantly rushing.",98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_008,3,5.0,7.0,7.04,15.3,7.5,1.4,8.75,3.44,4.98,Poor time management has left me pulling late nights to meet project milestones.,98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_008,4,5.0,7.0,7.8,17.7,7.5,1.49,8.75,3.44,4.81,Poor time management has left me pulling late nights to meet project milestones.,98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_008,5,4.55,7.0,7.07,12.3,9.0,1.32,9.2,3.28,9.11,Poor time management has left me pulling late nights to meet project milestones.,98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_008,6,4.55,7.0,7.12,10.3,9.0,1.41,9.2,3.28,3.25,Poor time management has left me pulling late nights to meet project milestones.,98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_008,7,4.55,7.0,7.6,16.5,9.0,1.11,9.2,3.28,5.5,"Running out of time to complete all my tasks today, constantly rushing.",98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_009,1,5.52,7.25,5.0,51.7,6.23,0.91,6.86,5.54,5.8,Missing home and feeling lonely during weekends in the college dormitory.,76.41,High,Social,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_009,2,5.52,7.25,5.0,51.7,6.23,0.74,6.96,5.44,7.31,Missing home and feeling lonely during weekends in the college dormitory.,78.71,High,Social,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_009,3,5.52,7.25,5.0,51.7,6.23,1.4,6.56,5.84,7.33,Missing home and feeling lonely during weekends in the college dormitory.,75.42,High,Social,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_009,4,5.52,7.25,5.0,51.7,6.23,1.24,6.66,5.74,4.25,Had a conflict with roommate and feeling socially strained.,74.98,High,Social,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_009,5,5.52,7.25,5.0,51.7,6.23,0.97,6.82,5.58,7.0,Had a conflict with roommate and feeling socially strained.,74.37,High,Social,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_009,6,5.52,7.25,5.0,51.7,6.23,1.26,6.64,5.76,4.98,Feeling isolated from my peer group and struggling with campus social life.,73.98,High,Social,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_009,7,5.52,7.25,5.0,51.7,6.23,1.33,6.6,5.8,6.02,Missing home and feeling lonely during weekends in the college dormitory.,75.06,High,Social,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Social Isolation""]"
STU_010,1,4.16,7.76,8.93,28.6,6.55,2.14,7.42,3.75,4.46,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",92.74,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_010,2,3.55,7.76,8.04,33.4,6.7,2.14,7.73,3.19,5.96,Insomnia is killing me. Only slept 3 hours last night and feel exhausted.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_010,3,4.09,7.76,8.86,34.3,7.17,2.14,7.46,3.68,7.26,Disrupted sleep schedule and constant headaches throughout the morning.,95.99,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_010,4,3.06,7.76,9.13,37.1,7.22,2.14,7.97,2.75,8.23,Disrupted sleep schedule and constant headaches throughout the morning.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_010,5,3.6,7.76,8.7,28.9,7.01,2.14,7.7,3.24,8.21,Disrupted sleep schedule and constant headaches throughout the morning.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_010,6,3.42,7.76,9.48,28.6,7.05,2.14,7.79,3.08,8.4,Screen usage late at night is ruining my sleep quality.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_010,7,3.15,7.76,9.35,33.4,7.2,2.14,7.93,2.83,8.46,Disrupted sleep schedule and constant headaches throughout the morning.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time""]"
STU_011,1,5.0,7.0,7.54,18.6,7.5,1.38,8.75,3.44,3.42,"Too many deadlines overlapping on the same day, feeling breathless.",98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_011,2,5.0,7.0,7.41,14.6,7.5,1.29,8.75,3.44,5.53,"Juggling classes, projects, and personal commitments is overwhelming.",98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_011,3,5.0,7.0,7.77,10.5,7.5,1.49,8.75,3.44,6.1,"Juggling classes, projects, and personal commitments is overwhelming.",98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_011,4,5.0,7.0,7.94,17.0,7.5,1.31,8.75,3.44,6.5,"Juggling classes, projects, and personal commitments is overwhelming.",98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_011,5,4.55,7.0,7.73,12.0,9.0,1.05,9.2,3.28,5.83,Poor time management has left me pulling late nights to meet project milestones.,98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_011,6,4.55,7.0,7.03,16.6,9.0,1.16,9.2,3.28,8.46,"Too many deadlines overlapping on the same day, feeling breathless.",98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_011,7,4.55,7.0,7.92,10.2,9.0,1.23,9.2,3.28,3.55,"Running out of time to complete all my tasks today, constantly rushing.",98.0,Severe,Time-pressure,Sudden Escalation,"[""Sleep Deprivation"", ""Heavy Academic Workload"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity"", ""Social Isolation""]"
STU_012,1,4.38,4.09,8.42,15.5,6.18,2.35,7.31,3.94,3.13,Screen usage late at night is ruining my sleep quality.,94.34,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_012,2,3.89,4.09,9.5,13.2,5.58,2.35,7.56,3.5,7.9,Insomnia is killing me. Only slept 3 hours last night and feel exhausted.,96.99,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_012,3,4.15,4.09,8.3,18.2,5.25,2.35,7.43,3.73,6.67,Insomnia is killing me. Only slept 3 hours last night and feel exhausted.,87.82,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_012,4,3.27,4.09,9.05,18.1,6.0,2.35,7.87,2.94,8.06,Insomnia is killing me. Only slept 3 hours last night and feel exhausted.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_012,5,3.06,4.09,8.47,10.4,5.81,2.35,7.97,2.76,5.58,Screen usage late at night is ruining my sleep quality.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_012,6,3.47,4.09,8.11,13.5,5.92,2.35,7.77,3.12,8.53,"Waking up feeling tired despite sleeping late, unable to get restful sleep.",96.74,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_012,7,3.2,4.09,8.18,11.9,6.21,2.35,7.9,2.88,7.3,Screen usage late at night is ruining my sleep quality.,98.0,Severe,Sleep-related,Increasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety"", ""Excessive Screen Time"", ""Low Physical Activity""]"
STU_013,1,4.26,6.28,5.97,24.8,6.13,3.95,6.68,4.66,6.02,Extremely anxious about upcoming lab exams and pending submissions.,85.92,Severe,Academic,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_013,2,4.07,6.5,5.7,20.5,6.35,4.29,6.82,4.59,6.7,Extremely anxious about upcoming lab exams and pending submissions.,85.51,Severe,Academic,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_013,3,4.3,6.76,5.78,27.2,6.04,4.21,6.63,4.69,8.72,Can't focus on studying due to overwhelming course requirements and deadlines.,80.34,Severe,Academic,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_013,4,4.41,6.04,6.4,33.2,5.92,3.85,6.55,4.73,7.49,Struggling with the heavy assignment load and complex programming projects.,80.4,Severe,Academic,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_013,5,4.36,7.21,5.54,31.2,5.72,3.87,6.48,4.76,6.08,Can't focus on studying due to overwhelming course requirements and deadlines.,78.0,High,Academic,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_013,6,4.47,7.14,5.78,24.0,5.45,4.3,6.34,4.83,7.69,I have three major midterms coming up this week and I feel completely unprepared.,76.2,High,Academic,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_013,7,4.35,7.45,6.14,31.6,5.09,3.83,6.23,4.89,9.37,Can't focus on studying due to overwhelming course requirements and deadlines.,74.58,High,Academic,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_014,1,5.13,6.12,3.07,39.0,5.4,3.53,7.48,4.51,6.05,Worried about my upcoming seminar presentation in front of professors.,78.01,High,Performance,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_014,2,5.18,5.35,3.07,39.0,5.29,3.46,7.46,4.52,6.2,Feeling inadequate compared to my peers during coding competitive tests.,77.03,High,Performance,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_014,3,5.12,6.11,3.07,39.0,5.42,3.59,8.4,4.14,3.77,Constant pressure to perform well and keep up high GPA expectations.,77.51,High,Performance,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_014,4,4.74,5.99,3.07,39.0,5.61,4.17,7.55,4.48,4.93,Feeling inadequate compared to my peers during coding competitive tests.,77.63,High,Performance,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
STU_014,5,4.87,5.72,3.07,39.0,5.43,4.34,8.42,4.13,7.07,Constant pressure to perform well and keep up high GPA expectations.,77.96,High,Performance,Decreasing,"[""Sleep Deprivation"", ""Exam & Performance Anxiety""]"
